"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"IFT88","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1296",NA
"IFT88","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1297",NA
"KIAA0556","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.184","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1324",NA
"KIAA0556","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.184","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1325",NA
"KIAA0556","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.185","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1324",NA
"KIAA0556","BCK_eIF4E_KD_DSG_2020.csv~1.46",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.185","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1325",NA
"GSTO2","BCK_eIF4E_KD_DSG_2020.csv~1.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSBPL3","BCK_eIF4E_KD_DSG_2020.csv~1.48",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.19",NA,NA,NA,NA,NA,NA
"MAP2","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1512",NA
"MAP2","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1513",NA
